,fecha,region,institucion,primeras_consultas,consultas_seguimiento,total_mes,label_year
1,2018-01-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",141,246.0,387,2018
2,2018-01-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",27,328.0,355,2018
3,2018-01-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",91,794.0,885,2018
10,2018-02-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",504,1781.0,2285,2018
11,2018-02-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,3.0,3,2018
12,2018-02-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",188,969.0,1157,2018
13,2018-02-01,Região de Saúde LVT,Instituto Gama Pinto,0,53.0,53,2018
18,2018-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",944,6827.0,7771,2018
19,2018-03-01,Região de Saúde LVT,"Hospital de Cascais, PPP",237,948.0,1185,2018
20,2018-03-01,Região de Saúde LVT,Instituto Gama Pinto,0,84.0,84,2018
21,2018-03-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",426,1353.0,1779,2018
28,2018-04-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",460,3501.0,3961,2018
29,2018-04-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",513,866.0,1379,2018
30,2018-04-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",104,1209.0,1313,2018
35,2018-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1479,11247.0,12726,2018
36,2018-05-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,982,8885.0,9867,2018
37,2018-05-01,Região de Saúde LVT,"Hospital de Cascais, PPP",344,1557.0,1901,2018
38,2018-05-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",432,2418.0,2850,2018
39,2018-05-01,Região de Saúde LVT,Instituto Gama Pinto,0,161.0,161,2018
45,2018-06-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",467,3003.0,3470,2018
46,2018-06-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",165,1828.0,1993,2018
47,2018-06-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",188,224.0,412,2018
48,2018-06-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",752,2625.0,3377,2018
56,2018-08-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1791,7263.0,9054,2018
57,2018-08-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",872,1605.0,2477,2018
58,2018-08-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",735,3416.0,4151,2018
59,2018-08-01,Região de Saúde LVT,Instituto Gama Pinto,0,255.0,255,2018
60,2018-08-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",967,3382.0,4349,2018
67,2018-09-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",992,1820.0,2812,2018
68,2018-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2356,17889.0,20245,2018
69,2018-09-01,Região de Saúde LVT,"Hospital de Cascais, PPP",571,2687.0,3258,2018
75,2018-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2138,8881.0,11019,2018
76,2018-10-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",1108,2023.0,3131,2018
77,2018-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2637,20128.0,22765,2018
78,2018-10-01,Região de Saúde LVT,"Hospital de Cascais, PPP",651,3056.0,3707,2018
79,2018-10-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1002,8211.0,9213,2018
83,2018-11-01,Região de Saúde LVT,Instituto Gama Pinto,0,352.0,352,2018
87,2018-12-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",1031,5172.0,6203,2018
88,2018-12-01,Região de Saúde LVT,"Hospital de Cascais, PPP",747,3640.0,4387,2018
89,2018-12-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1178,9805.0,10983,2018
90,2018-12-01,Região de Saúde LVT,Instituto Gama Pinto,0,375.0,375,2018
95,2019-01-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",92,704.0,796,2019
96,2019-01-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",75,162.0,237,2019
97,2019-01-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",68,433.0,501,2019
98,2019-01-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",25,247.0,272,2019
99,2019-01-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,0.0,0,2019
105,2019-02-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",190,456.0,646,2019
106,2019-02-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",571,4518.0,5089,2019
107,2019-02-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,483,3747.0,4230,2019
108,2019-02-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",41,460.0,501,2019
109,2019-02-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",166,914.0,1080,2019
118,2019-03-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",173,518.0,691,2019
119,2019-03-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",209,1229.0,1438,2019
125,2019-04-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",853,3557.0,4410,2019
132,2019-05-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1100,9167.0,10267,2019
133,2019-05-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",100,1173.0,1273,2019
139,2019-06-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",435,2425.0,2860,2019
140,2019-06-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
141,2019-06-01,Região de Saúde LVT,Instituto Gama Pinto,0,208.0,208,2019
146,2019-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1996,15005.0,17001,2019
147,2019-07-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1460,12508.0,13968,2019
148,2019-07-01,Região de Saúde LVT,"Hospital de Cascais, PPP",340,1907.0,2247,2019
158,2019-08-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",903,6236.0,7139,2019
159,2019-08-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",642,1686.0,2328,2019
160,2019-08-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",573,2928.0,3501,2019
161,2019-08-01,Região de Saúde LVT,"Hospital de Cascais, PPP",382,2039.0,2421,2019
162,2019-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",831,6759.0,7590,2019
171,2019-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1923,7303.0,9226,2019
172,2019-09-01,Região de Saúde LVT,"Hospital de Loures, PPP",772,4838.0,5610,2019
173,2019-09-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",182,1935.0,2117,2019
183,2019-10-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1238,8118.0,9356,2019
184,2019-10-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",771,3708.0,4479,2019
185,2019-10-01,Região de Saúde LVT,"Hospital de Loures, PPP",875,5468.0,6343,2019
186,2019-10-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",204,2236.0,2440,2019
187,2019-10-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1255,3528.0,4783,2019
193,2019-11-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2391,9049.0,11440,2019
194,2019-11-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",216,2493.0,2709,2019
195,2019-11-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",953,5116.0,6069,2019
196,2019-11-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1203,9477.0,10680,2019
199,2019-12-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",610,2002.0,2612,2019
200,2019-12-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1466,4290.0,5756,2019
215,2020-02-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",260,1672.0,1932,2020
216,2020-02-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",808,4846.0,5654,2020
217,2020-02-01,Região de Saúde LVT,"Hospital de Cascais, PPP",52,647.0,699,2020
218,2020-02-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",170,243.0,413,2020
226,2020-03-01,Região de Saúde LVT,Instituto Gama Pinto,0,80.0,80,2020
233,2020-04-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",355,3386.0,3741,2020
234,2020-04-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",171,785.0,956,2020
235,2020-04-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",241,1922.0,2163,2020
236,2020-04-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",168,810.0,978,2020
247,2020-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1036,4120.0,5156,2020
248,2020-05-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",470,4404.0,4874,2020
249,2020-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",206,943.0,1149,2020
