,institucion,primeras_consultas,primeras_consultas,primeras_consultas,primeras_consultas,primeras_consultas,primeras_consultas,consultas_seguimiento,consultas_seguimiento,consultas_seguimiento,consultas_seguimiento,consultas_seguimiento,consultas_seguimiento,total_anual
,,mean,median,sum,min,max,std,mean,median,sum,min,max,std,sum
0,"Centro Hospitalar Barreiro/Montijo, EPE",443.75,428.0,5325,66,830,246.46,3866.08,3925.0,46393.0,664.0,6715.0,1941.35,51718
1,"Centro Hospitalar Médio Tejo, EPE",476.33,445.5,5716,58,951,315.63,3398.83,3533.5,40786.0,488.0,5947.0,1794.39,46502
2,Centro Hospitalar Psiquiátrico de Lisboa,1099.08,1140.5,13189,131,2008,612.0,12770.92,13592.5,153251.0,1858.0,22006.0,6593.19,166440
3,"Centro Hospitalar Universitário Lisboa Central, EPE",1505.42,1533.5,18065,180,2813,872.46,6202.83,6542.0,74434.0,802.0,11355.0,3393.33,92499
4,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2295.25,2372.5,27543,333,4129,1241.01,14571.0,15341.0,174852.0,2021.0,25628.0,7599.38,202395
5,"Centro Hospitalar de Lisboa Ocidental, EPE",809.75,812.0,9717,117,1516,462.64,6503.25,6631.0,78039.0,896.0,11899.0,3530.46,87756
6,"Centro Hospitalar de Setúbal, EPE",258.5,271.0,3102,28,489,150.08,1287.75,1316.5,15453.0,151.0,2400.0,737.65,18555
7,"Centro Hospitalar do Oeste, EPE, EPE",355.08,321.0,4261,61,789,226.47,1040.83,1026.0,12490.0,146.0,2253.0,635.1,16751
8,"Hospital Distrital de Santarém, EPE",504.33,505.0,6052,44,946,296.99,2062.83,2120.0,24754.0,240.0,3796.0,1150.55,30806
9,"Hospital Garcia de Orta, EPE",933.42,969.0,11201,112,1660,501.13,6757.83,7173.0,81094.0,1041.0,11519.0,3371.07,92295
10,"Hospital Professor Doutor Fernando Fonseca, EPE",579.83,580.5,6958,81,1079,325.19,3999.75,4191.0,47997.0,520.0,7023.0,2127.11,54955
11,"Hospital de Cascais, PPP",219.75,238.0,2637,36,435,135.4,1450.67,1500.0,17408.0,207.0,2632.0,798.53,20045
12,"Hospital de Loures, PPP",490.17,500.0,5882,78,883,254.86,4044.83,4266.0,48538.0,584.0,6982.0,2100.26,54420
13,"Hospital de Vila Franca de Xira, EPE",347.29,334.0,2431,251,531,91.33,1931.86,1764.0,13523.0,1285.0,3141.0,629.28,15954
14,"Hospital de Vila Franca de Xira, PPP",122.2,122.0,611,34,210,70.05,619.4,617.0,3097.0,207.0,1047.0,330.86,3708
15,Instituto Gama Pinto,0.0,0.0,0,0,0,0.0,190.58,205.5,2287.0,27.0,333.0,101.35,2287
16,"Instituto Português Oncologia de Lisboa, EPE",801.17,775.0,9614,99,1608,511.49,3044.83,3157.0,36538.0,411.0,5549.0,1624.05,46152
