Unnamed: 0,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
36,Algeria,Middle East and North Africa,2019,4.744627476,9.361109734,0.803258657,66.40000153,0.385083437,0.000268438,0.740609348,0.544427812,0.215197757,
130,Bahrain,Middle East and North Africa,2019,7.098012447,10.8151474,0.877929449,65.90000153,0.906535506,0.036391091,,0.711386263,0.317106396,
191,Benin,Sub-Saharan Africa,2019,4.976360798,8.057199478,0.442153931,55.5,0.770359993,-0.015219427,0.698346972,0.638348281,0.44139877,0.690226018
240,Botswana,Sub-Saharan Africa,2019,3.471084833,9.623641014,0.773667216,53.90000153,0.832542658,-0.230794713,0.792079508,0.665049851,0.272721767,0.690069556
285,Burkina Faso,Sub-Saharan Africa,2019,4.740892887,7.654472828,0.683102369,54.90000153,0.677546859,-0.0030976,0.729396582,0.65623343,0.364775389,0.703626156
323,Cameroon,Sub-Saharan Africa,2019,4.936737537,8.231245041,0.710964739,54.5,0.711500287,-0.011995641,0.817170262,0.606392264,0.326395005,0.546259165
362,Chad,Sub-Saharan Africa,2019,4.250799179,7.353720188,0.640452087,52.0,0.537245691,0.054406818,0.832283497,0.556210697,0.460061282,0.571986496
419,Comoros,Sub-Saharan Africa,2019,4.608616352,8.098840714,0.632012963,58.90000153,0.538261533,0.070537798,0.762232482,0.665162265,0.336162895,0.313734859
430,Congo (Brazzaville),Sub-Saharan Africa,2019,5.212622643,8.214752197,0.624768078,56.20000076,0.686451972,-0.056287225,0.74058944,0.594482303,0.40504083,0.541197777
573,Egypt,Middle East and North Africa,2019,4.327831745,9.321944237,0.772128642,63.0,0.773951054,-0.198144704,,0.420276582,0.312763393,
612,Eswatini,Sub-Saharan Africa,2019,4.396114826,9.047970772,0.759097695,50.09999847,0.596682429,-0.192014858,0.723507762,0.725604951,0.279595166,0.682605982
620,Ethiopia,Sub-Saharan Africa,2019,4.099555016,7.687840939,0.748057783,59.90000153,0.753515542,0.052131813,0.731845319,0.519313693,0.282738596,0.777927876
