,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
0,Afghanistan,South Asia,2008,3.723589897,7.350416183,0.450662315,50.5,0.718114316,0.167652458,0.88168633,0.414297044,0.25819549,0.61207211
1,Afghanistan,South Asia,2009,4.401778221,7.508646011,0.55230844,50.79999924,0.678896368,0.190808803,0.850035429,0.481421441,0.23709242,0.611545205
2,Afghanistan,South Asia,2010,4.75838089,7.613899708,0.539075196,51.09999847,0.60012722,0.121316046,0.706766069,0.516906679,0.275323808,0.299357414
3,Afghanistan,South Asia,2011,3.83171916,7.581258774,0.521103561,51.40000153,0.495901406,0.163571492,0.731108546,0.479834676,0.267174691,0.307385713
4,Afghanistan,South Asia,2012,3.782937527,7.660505772,0.520636737,51.70000076,0.530935049,0.237587586,0.775619805,0.613512814,0.267919123,0.435440153
5,Afghanistan,South Asia,2013,3.572100401,7.680333138,0.48355186,52.0,0.577955365,0.062666222,0.8232041,0.547416985,0.273328096,0.482847273
6,Afghanistan,South Asia,2014,3.130895615,7.670638084,0.525568426,52.29999924,0.508514047,0.105754882,0.871241987,0.491641015,0.374860734,0.409047514
7,Afghanistan,South Asia,2015,3.982854605,7.653833389,0.528597236,52.59999847,0.388927579,0.081652276,0.880638301,0.491409957,0.339276046,0.260557145
8,Afghanistan,South Asia,2016,4.220168591,7.650369644,0.559071779,52.92499924,0.522566199,0.043916017,0.793245554,0.501408756,0.348332286,0.324989557
9,Afghanistan,South Asia,2017,2.66171813,7.647830486,0.490880072,53.25,0.427010864,-0.11941047,0.954392552,0.435269952,0.371326178,0.261178523
10,Afghanistan,South Asia,2018,2.694303274,7.630800724,0.507515848,53.57500076,0.373535544,-0.091105983,0.927605689,0.384561479,0.404904395,0.364666402
11,Afghanistan,South Asia,2019,2.375091791,7.640085697,0.419972867,53.90000153,0.393656164,-0.10601645,0.923849106,0.324107826,0.502473712,0.341482222
12,Afghanistan,South Asia,2021,2.436034441,7.324032307,0.454174697,54.54999924,0.394305944,-0.081011124,0.946299374,0.178885803,0.60671258,0.255620003
13,Afghanistan,South Asia,2022,1.2812711,,0.228217229,54.875,0.368377149,,0.733197868,0.205867782,0.575511873,
132,Bangladesh,South Asia,2006,4.318909168,7.939726353,0.672002196,59.11999893,0.611664236,0.055184368,0.785916209,0.458654761,0.320792794,0.613737047
133,Bangladesh,South Asia,2007,4.607322216,7.997421265,0.514170706,59.63999939,0.604538321,0.027072242,0.806116879,0.484255552,0.313138157,0.732760131
134,Bangladesh,South Asia,2008,5.052278519,8.046941757,0.466553479,60.15999985,0.606012166,-0.05712276,0.801819921,0.544638395,0.231860757,0.761932433
135,Bangladesh,South Asia,2009,5.08285141,8.087361336,0.527813554,60.68000031,0.630931079,-0.088206336,0.776003957,0.505846858,0.223253846,0.829859614
136,Bangladesh,South Asia,2010,4.858481407,8.130166054,0.549398482,61.20000076,0.659005642,-0.029911591,0.773530483,0.495740086,0.292425215,0.646872878
137,Bangladesh,South Asia,2011,4.985649109,8.180617332,0.606459022,61.72000122,0.83799535,-0.083039746,0.757002652,0.501307309,0.234981537,0.786452591
138,Bangladesh,South Asia,2012,4.724443913,8.231357574,0.581765294,62.24000168,0.66768229,-0.048033539,0.764894426,0.537134707,0.183245391,0.705811918
139,Bangladesh,South Asia,2013,4.660161018,8.277083397,0.530139685,62.75999832,0.741518021,-0.029183861,0.742774189,0.491930902,0.246052667,0.736026943
140,Bangladesh,South Asia,2014,4.635564804,8.323469162,0.577065051,63.27999878,0.735512853,-0.111779079,0.789374709,,0.230678365,0.719101429
