,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
14,Albania,Central and Eastern Europe,2007,4.634251595,9.121704102,0.821371615,66.76000214,0.528604746,-0.010428508,0.874699533,0.488818616,0.24633503,0.300680578
15,Albania,Central and Eastern Europe,2009,5.485469818,9.241429329,0.833046615,67.31999969,0.525223255,-0.159258857,0.863665402,0.564474463,0.279256523,
16,Albania,Central and Eastern Europe,2010,5.268936634,9.282793045,0.73315227,67.59999847,0.568958402,-0.173675284,0.726261675,0.576076567,0.300060242,
17,Albania,Central and Eastern Europe,2011,5.867421627,9.310619354,0.759433806,67.87999725,0.487496257,-0.206186071,0.877002597,0.565758884,0.256576508,
18,Albania,Central and Eastern Europe,2012,5.510124207,9.326343536,0.784501791,68.16000366,0.601512134,-0.170467481,0.847675204,0.553473175,0.271393239,0.364893705
19,Albania,Central and Eastern Europe,2013,4.550647736,9.33814621,0.759476721,68.44000244,0.631830275,-0.128825098,0.862904966,0.54075098,0.338378578,0.338094711
20,Albania,Central and Eastern Europe,2014,4.813763142,9.357805252,0.625586927,68.72000122,0.734648407,-0.026297539,0.882704437,0.572945058,0.334542662,0.49878639
21,Albania,Central and Eastern Europe,2015,4.606650829,9.382661819,0.639356136,69.0,0.703850687,-0.082491614,0.884793043,0.579071701,0.350426674,0.506978393
22,Albania,Central and Eastern Europe,2016,4.511100769,9.416872978,0.638411462,69.02500153,0.72981894,-0.018664083,0.901070774,0.567079723,0.321705997,0.400909811
23,Albania,Central and Eastern Europe,2017,4.639548302,9.455109596,0.637698293,69.05000305,0.74961102,-0.030505668,0.876134634,0.547240436,0.33388412,0.457737535
24,Albania,Central and Eastern Europe,2018,5.004402637,9.496984482,0.683591664,69.07499695,0.824212313,0.007197479,0.899129391,0.592044652,0.318996727,0.435337961
25,Albania,Central and Eastern Europe,2019,4.995317936,9.521909714,0.686364889,69.09999847,0.777351439,-0.10090977,0.914284289,0.548189282,0.273827374,0.336627871
26,Albania,Central and Eastern Europe,2020,5.364909649,9.492215157,0.710115016,69.125,0.75367105,0.004123116,0.891358972,0.563486159,0.265066117,0.373402834
27,Albania,Central and Eastern Europe,2021,5.25548172,9.58320713,0.70188278,69.15000153,0.827452719,0.041377552,0.896126628,0.553830087,0.25365448,0.472924024
28,Albania,Central and Eastern Europe,2022,5.212213039,9.626482964,0.724089622,69.17500305,0.802249789,-0.065987259,0.845501959,0.547125936,0.254825532,
60,Armenia,Commonwealth of Independent States,2006,4.289310932,9.020847321,0.681876779,63.84000015,0.520197809,-0.232203081,0.849513113,0.45341751,0.469418824,0.344337493
61,Armenia,Commonwealth of Independent States,2007,4.881515503,9.156567574,0.75964433,64.08000183,0.605410755,-0.252352089,0.817444861,0.453751594,0.411717415,0.387620211
62,Armenia,Commonwealth of Independent States,2008,4.651972294,9.230296135,0.709485531,64.31999969,0.462156564,-0.216459826,0.876099229,0.486230165,0.384891808,0.464447111
63,Armenia,Commonwealth of Independent States,2009,4.177581787,9.084740639,0.680006921,64.55999756,0.441412747,-0.215106979,0.881887496,0.479002982,0.411279917,0.37395224
64,Armenia,Commonwealth of Independent States,2010,4.367811203,9.112593651,0.660342336,64.80000305,0.459256709,-0.177337021,0.890629232,0.4367477,0.42649585,0.355544627
65,Armenia,Commonwealth of Independent States,2011,4.260491371,9.164417267,0.705108464,65.04000092,0.464524716,-0.227116942,0.874601007,0.410856694,0.45907408,0.335884422
66,Armenia,Commonwealth of Independent States,2012,4.319711685,9.23892498,0.676446438,65.27999878,0.501863778,-0.217446491,0.892544389,0.469874054,0.463855445,0.285362303
67,Armenia,Commonwealth of Independent States,2013,4.277191162,9.275876045,0.723260045,65.51999664,0.504081845,-0.198420092,0.899796784,0.502904475,0.449949831,0.260400474
68,Armenia,Commonwealth of Independent States,2014,4.453083038,9.315198898,0.738763511,65.76000214,0.506487131,-0.222088203,0.920390487,0.510197997,0.403984338,0.214914635
69,Armenia,Commonwealth of Independent States,2015,4.34831953,9.350626945,0.722551048,66.0,0.551026642,-0.206866056,0.901462197,0.526852846,0.43794772,0.170927867
70,Armenia,Commonwealth of Independent States,2016,4.325471878,9.357068062,0.709218323,66.27500153,0.610986948,-0.175243273,0.921421051,0.515989423,0.437227815,0.184713036
71,Armenia,Commonwealth of Independent States,2017,4.287736416,9.434254646,0.697924912,66.55000305,0.613697052,-0.15228498,0.86468333,0.552406728,0.43714875,0.246900991
72,Armenia,Commonwealth of Independent States,2018,5.062448502,9.490350723,0.814449012,66.82499695,0.807643652,-0.168632939,0.676826358,0.535402834,0.454840273,0.670827627
73,Armenia,Commonwealth of Independent States,2019,5.4880867,9.569241524,0.781603873,67.09999847,0.844324112,-0.179026783,0.583472729,0.536562622,0.430463403,0.648066342
74,Armenia,Commonwealth of Independent States,2021,5.300568581,9.560512543,0.762044132,67.65000153,0.795169771,-0.156325892,0.705333829,0.565781593,0.477539957,0.297145844
75,Armenia,Commonwealth of Independent States,2022,5.381942749,9.667765617,0.811169267,67.92500305,0.789598525,-0.154325441,0.704730451,0.530931175,0.549468338,
92,Austria,Western Europe,2006,7.122211456,10.83645248,0.936350405,69.5,0.941382349,0.298436075,0.490111172,0.746153116,0.173811689,0.497037798
93,Austria,Western Europe,2008,7.180953979,10.88117504,0.934592783,69.69999695,0.879069269,0.28732118,0.613625228,0.716296494,0.173194528,0.257242203
94,Austria,Western Europe,2010,7.302678585,10.85598373,0.914193332,69.90000153,0.895979762,0.126924306,0.546144843,0.710301936,0.155792549,0.486446619
95,Austria,Western Europe,2011,7.470512867,10.88142204,0.944156826,70.0,0.939355612,0.127589643,0.702721,0.672192097,0.14523755,0.406920105
96,Austria,Western Europe,2012,7.400688648,10.8836441,0.945142388,70.09999847,0.919703901,0.113813803,0.770585775,0.712149978,0.156674996,0.376573861
97,Austria,Western Europe,2013,7.498802662,10.87800503,0.949809194,70.19999695,0.921734452,0.164262667,0.678936899,0.725053191,0.162603319,0.417099237
98,Austria,Western Europe,2014,6.949999809,10.87678051,0.898920476,70.30000305,0.885026872,0.113623381,0.566931307,0.720965326,0.17014955,0.407695413
99,Austria,Western Europe,2015,7.07644701,10.87566471,0.928110301,70.40000153,0.900305152,0.094909608,0.55747962,0.747707725,0.164469033,0.454789877
100,Austria,Western Europe,2016,7.048071861,10.88454914,0.926318586,70.52500153,0.888513982,0.075823404,0.52364099,0.713450849,0.197423846,0.432638228
101,Austria,Western Europe,2017,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.129277334,0.518303812,0.698889375,0.18026872,0.43590793
102,Austria,Western Europe,2018,7.396001816,10.91903114,0.911668122,70.77500153,0.904111981,0.049663041,0.52306056,0.694627702,0.226058796,0.488678724
103,Austria,Western Europe,2019,7.195361137,10.92964458,0.964488804,70.90000153,0.90342766,0.055960763,0.457088888,0.727341115,0.205169737,0.512338281
104,Austria,Western Europe,2020,7.213489056,10.85877609,0.924831212,71.02500153,0.911909878,0.006124678,0.463830173,0.716352284,0.206499651,0.626177847
105,Austria,Western Europe,2021,7.079640865,10.89898014,0.862975955,71.15000153,0.794845939,0.159445032,0.500808597,0.721865237,0.259080172,0.61045897
106,Austria,Western Europe,2022,6.998997211,10.93891716,0.876287401,71.27500153,0.855502605,0.139042094,0.524212122,0.717616439,0.226394817,
107,Azerbaijan,Commonwealth of Independent States,2006,4.727870941,9.154187202,0.85441488,60.58000183,0.771528184,-0.236623272,0.774117172,0.468755603,0.275695145,0.754706621
