Unnamed: 0,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
26,Albania,Central and Eastern Europe,2020,5.364909649,9.492215157,0.710115016,69.125,0.75367105,0.004123116,0.891358972,0.563486159,0.265066117,0.373402834
104,Austria,Western Europe,2020,7.213489056,10.85877609,0.924831212,71.02500153,0.911909878,0.006124678,0.463830173,0.716352284,0.206499651,0.626177847
176,Belgium,Western Europe,2020,6.838760853,10.7991457,0.903558671,70.75,0.766917825,-0.170136407,0.633626759,0.619125485,0.260188788,0.294799596
227,Bosnia and Herzegovina,Central and Eastern Europe,2020,5.515816212,9.572131157,0.898518682,67.25,0.740250826,0.135482535,0.916052163,0.601870954,0.325412303,0.244549632
270,Bulgaria,Central and Eastern Europe,2020,5.597723007,10.02054119,0.916242361,66.40000153,0.818224788,-0.010106544,0.900632977,0.642387509,0.221351057,0.273983628
472,Croatia,Central and Eastern Europe,2020,6.507992268,10.20176506,0.922913492,68.77500153,0.836657643,-0.069338493,0.960939288,0.681406796,0.285609752,0.208485767
488,Cyprus,Western Europe,2020,6.259810448,10.58333588,0.805559397,72.59999847,0.762782335,-0.084321655,0.816231728,0.670835674,0.283522457,0.414389879
502,Czechia,Western Europe,2020,6.897091389,10.56204319,0.96405369,68.92500305,0.906422019,-0.133409292,0.883699596,0.748342454,0.290441692,0.318858981
519,Denmark,Western Europe,2020,7.514631271,10.92447376,0.947371364,71.125,0.937931836,0.046843562,0.213841751,0.752573669,0.227101892,0.715797603
607,Estonia,Central and Eastern Europe,2020,6.452563763,10.48802662,0.957770467,69.42500305,0.954200566,-0.088427089,0.397834778,0.761690438,0.187679499,0.46480599
635,Finland,Western Europe,2020,7.889349937,10.76730347,0.961620748,71.07499695,0.962423682,-0.121018246,0.163635895,0.74793905,0.192897573,0.808632851
652,France,Western Europe,2020,6.714111805,10.65096092,0.947354019,72.19999695,0.823386312,-0.173693419,0.564640582,0.68962425,0.23095043,0.410406649
685,Georgia,Commonwealth of Independent States,2020,5.123143196,9.54440403,0.71834594,64.82499695,0.764352381,-0.22259675,0.582734704,0.572584391,0.294512063,0.518526018
702,Germany,Western Europe,2020,7.311897755,10.85592365,0.905080497,71.09999847,0.864356041,-0.066006646,0.424088776,0.698266089,0.205927119,0.654063106
735,Greece,Western Europe,2020,5.787615776,10.2074194,0.778536558,71.02500153,0.56461364,-0.244104847,0.764324546,0.629382133,0.321684211,0.397469759
818,Hungary,Central and Eastern Europe,2020,6.038049698,10.34918594,0.943400383,67.34999847,0.77096808,-0.125335947,0.836105108,0.661645353,0.24005194,0.428733259
828,Iceland,Western Europe,2020,7.575489521,10.86235046,0.983286083,72.02500153,0.948627174,0.153187588,0.64406389,0.808147848,0.171795145,0.592407286
906,Ireland,Western Europe,2020,7.034930706,11.41971016,0.960311055,71.19999695,0.882098258,0.002064911,0.355632722,0.752608776,0.246447265,0.588148296
