Unnamed: 0,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
27,Albania,Central and Eastern Europe,2021,5.25548172,9.58320713,0.70188278,69.15000153,0.827452719,0.041377552,0.896126628,0.553830087,0.25365448,0.472924024
74,Armenia,Commonwealth of Independent States,2021,5.300568581,9.560512543,0.762044132,67.65000153,0.795169771,-0.156325892,0.705333829,0.565781593,0.477539957,0.297145844
105,Austria,Western Europe,2021,7.079640865,10.89898014,0.862975955,71.15000153,0.794845939,0.159445032,0.500808597,0.721865237,0.259080172,0.61045897
177,Belgium,Western Europe,2021,6.881756306,10.8539772,0.914856791,70.90000153,0.82250309,0.079182751,0.523367822,0.686583519,0.260030925,
228,Bosnia and Herzegovina,Central and Eastern Europe,2021,5.748823166,9.659282684,0.859953582,67.30000305,0.758979201,0.277147263,0.920913935,0.604092598,0.305352151,0.225852832
271,Bulgaria,Central and Eastern Europe,2021,5.421693325,10.10226154,0.883621037,66.5,0.841188073,-0.015801253,0.891248465,0.646759868,0.252776712,0.224526197
473,Croatia,Central and Eastern Europe,2021,6.286790371,10.36204529,0.917741537,68.94999695,0.841837883,0.003264118,0.933650374,0.640148699,0.274197161,0.251287937
489,Cyprus,Western Europe,2021,6.269202232,10.63829708,0.85535723,72.80000305,0.717639267,-0.036411244,0.876456022,0.64112097,0.274683625,0.321940005
503,Czechia,Western Europe,2021,6.942496777,10.61499023,0.950226784,69.05000305,0.890521467,0.159110054,0.8625741,0.716166556,0.239848629,0.284475416
520,Denmark,Western Europe,2021,7.698747158,10.96755409,0.944926739,71.25,0.933439255,0.131484345,0.172680944,0.7918908,0.20642221,0.651709735
608,Estonia,Central and Eastern Europe,2021,6.553915501,10.56405163,0.945865035,69.65000153,0.925818324,0.047387216,0.441425771,0.760608435,0.176258042,0.519263983
636,Finland,Western Europe,2021,7.794377804,10.79452896,0.97028929,71.15000153,0.96318984,-0.037466645,0.191753656,0.75161171,0.175448626,0.713731229
653,France,Western Europe,2021,6.656206608,10.71426487,0.914597511,72.30000305,0.836917698,-0.102300741,0.56081295,0.684601307,0.268417448,0.433520496
686,Georgia,Commonwealth of Independent States,2021,4.911273479,9.647734642,0.670689464,64.94999695,0.777061343,-0.287350744,0.723406911,0.509632826,0.240043506,0.443020523
703,Germany,Western Europe,2021,6.754523754,10.88143158,0.86758256,71.30000305,0.778439999,0.075374454,0.417581916,0.70333302,0.251194686,0.604759932
736,Greece,Western Europe,2021,6.104214191,10.2937727,0.85032618,71.15000153,0.574029803,-0.158694386,0.751816869,0.623556495,0.310851872,0.401736408
819,Hungary,Central and Eastern Europe,2021,6.226647854,10.42207718,0.947892129,67.5,0.727489948,-0.044104263,0.831555367,0.668148637,0.191949174,0.416566133
829,Iceland,Western Europe,2021,7.564624786,10.88904572,0.97985822,72.05000305,0.923243344,0.257897198,0.664465606,0.805808485,0.1591032,0.633886755
907,Ireland,Western Europe,2021,6.827651978,11.53758144,0.849838138,71.30000305,0.846344113,0.132696584,0.360423386,0.732733727,0.245210573,0.623389423
941,Italy,Western Europe,2021,6.4667449,10.64374352,0.885533631,72.05000305,0.702845216,-0.094107211,0.862317502,0.634286821,0.318436861,0.354293913
1012,Kazakhstan,Commonwealth of Independent States,2021,6.259634018,10.17009354,0.906053364,65.80000305,0.807489097,0.03642213,0.782494009,0.662836969,0.122301146,0.535169721
1045,Kosovo,Central and Eastern Europe,2021,6.648499489,9.382963181,0.848838627,,0.84011656,0.260641217,0.842378795,0.578284323,0.116078317,0.577198744
1073,Kyrgyzstan,Commonwealth of Independent States,2021,5.563699722,8.479482651,0.904273272,66.84999847,0.91787082,0.203469187,0.90251559,0.659907758,0.226462573,0.582115293
1099,Latvia,Central and Eastern Europe,2021,6.353090763,10.37603378,0.954086423,66.40000153,0.815278113,-0.101973705,0.839525342,0.716414034,0.18593426,0.294602394
1153,Lithuania,Central and Eastern Europe,2021,6.864572525,10.57912254,0.928175211,67.40000153,0.707402527,-0.119342811,0.877800763,0.66699332,0.191300765,0.303830445
1236,Malta,Western Europe,2021,6.443715096,10.70680523,0.897113085,71.59999847,0.889073849,0.241765574,0.752515912,0.635253549,0.375325114,0.662024558
1293,Moldova,Commonwealth of Independent States,2021,5.959048748,9.547471046,0.879554033,65.30000305,0.832602262,-0.095501058,0.875060678,0.630283237,0.270110786,0.363787621
1394,Netherlands,Western Europe,2021,7.314151287,10.94407082,0.918759406,71.55000305,0.85629344,0.267292023,0.396572888,0.714353323,0.201159164,0.584738791
1471,North Macedonia,Central and Eastern Europe,2021,5.534749985,9.709133148,0.808856964,66.5,0.79296577,0.19125995,0.884325325,0.563352823,0.303365707,0.359121591
1483,Norway,Western Europe,2021,7.361573696,11.09227848,0.947877407,71.5,0.936379194,0.167681649,0.263276964,0.769433558,0.20719704,0.773523211
1581,Poland,Central and Eastern Europe,2021,5.978068829,10.46068668,0.935534835,69.05000305,0.731805563,0.123874821,0.743913174,0.699575484,0.277231276,0.259251654
1596,Portugal,Western Europe,2021,6.183014393,10.42449665,0.894941688,71.25,0.892121136,-0.20941405,0.872229338,0.628748119,0.284006834,0.576186419
1617,Romania,Central and Eastern Europe,2021,6.548725605,10.33452034,0.834509134,67.05000305,0.870957971,-0.184267014,0.928280115,0.673982322,0.264397413,0.192293614
1634,Russia,Commonwealth of Independent States,2021,5.448261261,10.23853397,0.861716568,64.94999695,0.670810163,0.055832274,0.807839274,0.590086401,0.1900727,0.45699209
1695,Serbia,Central and Eastern Europe,2021,6.245267391,9.89501667,0.890106082,67.15000153,0.850367904,0.263601363,0.806221604,0.567632556,0.311130971,0.605454803
1736,Slovakia,Central and Eastern Europe,2021,6.418503761,10.36929607,0.951163888,68.94999695,0.74153322,0.045955859,0.895546556,0.69156754,0.241131321,0.215807587
1750,Slovenia,Central and Eastern Europe,2021,6.761220932,10.59754658,0.955252588,71.05000305,0.851086736,0.027393518,0.754198194,0.642823279,0.261042506,0.339235812
1811,Spain,Western Europe,2021,6.469611168,10.54305172,0.926416755,72.34999847,0.781794965,-0.074128382,0.729346991,0.639074683,0.323980331,0.371703804
1864,Sweden,Western Europe,2021,7.439280033,10.88955498,0.931819558,72.15000153,0.953379214,0.174091205,0.191473097,0.762894452,0.190008253,0.6335361
1876,Switzerland,Western Europe,2021,7.327672482,11.17089748,0.934393048,72.90000153,0.907875359,0.024104627,0.286672562,0.74678129,0.182606846,0.837848067
1915,Tajikistan,Commonwealth of Independent States,2021,5.286824226,8.269582748,0.882888913,62.29999924,,-0.068064049,0.498924732,0.655013323,0.240199998,
2037,Ukraine,Commonwealth of Independent States,2021,5.311355114,9.46835804,0.879308522,64.55000305,0.769904315,0.16855143,0.922350943,0.574909985,0.25038904,0.213765517
2069,United Kingdom,Western Europe,2021,6.866961956,10.71394444,0.854029596,70.30000305,0.815077186,0.253572524,0.447526574,0.683882475,0.265625894,0.394753993
2119,Uzbekistan,Commonwealth of Independent States,2021,6.18530798,8.953489304,0.895503759,65.30000305,0.927415252,0.186012119,0.661561668,0.698459327,0.232672125,0.912673354
