Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Algeria,Africa,2017,14.71085255805818
Angola,Africa,2017,13.35861705745614
Benin,Africa,2017,11.83528493500666
Botswana,Africa,2017,11.87932343348816
Burkina Faso,Africa,2017,11.85976336404111
Burundi,Africa,2017,13.07135204123128
Cameroon,Africa,2017,11.890334130723131
Cape Verde,Africa,2017,12.16149442955472
Central African Republic,Africa,2017,14.61354201472255
Chad,Africa,2017,12.61933663450033
Comoros,Africa,2017,12.20143886934128
Congo,Africa,2017,13.02393731455524
Cote d'Ivoire,Africa,2017,11.17511615011176
Democratic Republic of Congo,Africa,2017,13.63961145520833
Djibouti,Africa,2017,12.03520681321989
Egypt,Africa,2017,14.54883579820932
Equatorial Guinea,Africa,2017,13.18147748220281
Eritrea,Africa,2017,12.91720604716623
Eswatini,Africa,2017,11.96137444119046
Ethiopia,Africa,2017,12.50600217058437
Gabon,Africa,2017,13.12584999219828
Gambia,Africa,2017,12.97503562025918
Ghana,Africa,2017,11.41752279328881
Guinea,Africa,2017,11.86291790421868
Guinea-Bissau,Africa,2017,11.771544290728093
Kenya,Africa,2017,12.35008920835923
Lesotho,Africa,2017,13.30227714464551
Liberia,Africa,2017,12.755675622762611
Libya,Africa,2017,15.26863355217718
Madagascar,Africa,2017,13.026627770163602
Malawi,Africa,2017,12.50123060308537
Mali,Africa,2017,10.53014294906328
Mauritania,Africa,2017,10.56240940130191
Mauritius,Africa,2017,11.85937507230988
Morocco,Africa,2017,15.74033926569515
Mozambique,Africa,2017,13.324531891824709
Namibia,Africa,2017,11.09840897562638
Niger,Africa,2017,11.6178360692624
Nigeria,Africa,2017,10.72254275833619
Rwanda,Africa,2017,13.08807783022814
Sao Tome and Principe,Africa,2017,10.93765388405408
Senegal,Africa,2017,10.94927426057782
Seychelles,Africa,2017,10.83522314587507
Sierra Leone,Africa,2017,12.33887814115861
Somalia,Africa,2017,14.33417256804398
South Africa,Africa,2017,12.06706599246766
South Sudan,Africa,2017,13.30147888763706
Sudan,Africa,2017,15.980860866982049
Tanzania,Africa,2017,12.56981396074122
Togo,Africa,2017,12.31186604495554
Tunisia,Africa,2017,15.99167384038164
Uganda,Africa,2017,14.63832138848214
Zambia,Africa,2017,12.11118478100792
Zimbabwe,Africa,2017,11.17042704210888
