Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Antigua and Barbuda,North America,2019,14.17751299809818
Argentina,South America,2019,13.595222597372992
Bahamas,North America,2019,14.16006286677834
Barbados,North America,2019,14.383955115530789
Belize,North America,2019,14.32655399016709
Bermuda,North America,2019,14.52343948774755
Bolivia,South America,2019,15.063350369530228
Brazil,South America,2019,16.717069356276628
Canada,North America,2019,14.95356296501985
Chile,South America,2019,15.202829708389787
Colombia,South America,2019,12.04643042516959
Costa Rica,North America,2019,13.009186307377298
Cuba,North America,2019,15.14629938067432
Dominica,North America,2019,14.27740787126626
Dominican Republic,North America,2019,15.03912021692754
Ecuador,South America,2019,14.58815525610989
El Salvador,North America,2019,13.24409319317457
Greenland,North America,2019,17.54286715230218
Grenada,North America,2019,14.37317531217853
Guatemala,North America,2019,13.2304202712163
Guyana,South America,2019,15.81077976265846
Haiti,North America,2019,15.130035513561571
Honduras,North America,2019,12.70646602001159
Jamaica,North America,2019,14.01826048275959
Mexico,North America,2019,12.26168158820932
Nicaragua,North America,2019,13.26539329205507
Panama,North America,2019,12.18487468246428
Paraguay,South America,2019,15.83606551323358
Peru,South America,2019,13.82143110318422
Puerto Rico,North America,2019,14.24313683037147
Saint Kitts and Nevis,North America,2019,15.098794137568389
Saint Lucia,North America,2019,14.46568253296039
Saint Vincent and the Grenadines,North America,2019,14.44503451303567
Suriname,South America,2019,15.45091810103708
Trinidad and Tobago,North America,2019,14.5840651563248
United States,North America,2019,16.93462088013887
United States Virgin Islands,North America,2019,14.5980140688473
Uruguay,South America,2019,14.15222030296639
Venezuela,South America,2019,13.59048477814266
American Samoa,Oceania,2019,11.24102802924061
Australia,Oceania,2019,19.34792341064152
Cook Islands,Oceania,2019,11.65112941340683
Fiji,Oceania,2019,11.54004811166231
Guam,Oceania,2019,11.59326422098659
Kiribati,Oceania,2019,12.21734908971596
Marshall Islands,Oceania,2019,11.86111741568022
Micronesia (country),Oceania,2019,11.93376964213862
Nauru,Oceania,2019,11.79409855781949
New Zealand,Oceania,2019,19.03663763196692
Niue,Oceania,2019,11.77346915879304
Northern Mariana Islands,Oceania,2019,11.24155077945776
Palau,Oceania,2019,11.650617334379607
Papua New Guinea,Oceania,2019,11.90954262863304
Samoa,Oceania,2019,11.59383420032179
Solomon Islands,Oceania,2019,12.231589299219907
Tokelau,Oceania,2019,11.81469459412418
Tonga,Oceania,2019,11.54442534292806
Tuvalu,Oceania,2019,12.13524599954946
Vanuatu,Oceania,2019,11.96714004568997
