Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Afghanistan,Asia,2017,17.103263301715398
Armenia,Asia,2017,11.36580778575831
Azerbaijan,Asia,2017,10.39034471579925
Bahrain,Asia,2017,14.52720025796739
Bangladesh,Asia,2017,11.833639221189433
Bhutan,Asia,2017,12.03837847007701
Brunei,Asia,2017,10.3155758101744
Cambodia,Asia,2017,12.41937048149082
China,Asia,2017,11.38605697042987
Cyprus,Asia,2017,15.61642066168743
Georgia,Asia,2017,10.99425629670756
India,Asia,2017,13.89493300320343
Indonesia,Asia,2017,10.64352284700025
Iran,Asia,2017,19.11109596905941
Iraq,Asia,2017,14.93905446504981
Israel,Asia,2017,14.470370253573432
Japan,Asia,2017,10.62721248171778
Jordan,Asia,2017,14.935284792695269
Kazakhstan,Asia,2017,10.628280137652087
Kuwait,Asia,2017,13.94512903904365
Kyrgyzstan,Asia,2017,11.28078752330503
Laos,Asia,2017,12.029485964072087
Lebanon,Asia,2017,17.1095840405047
Malaysia,Asia,2017,12.21149301514748
Maldives,Asia,2017,11.11249549524367
Mongolia,Asia,2017,11.34090190188437
Myanmar,Asia,2017,10.89424626386705
Nepal,Asia,2017,13.80607849442596
North Korea,Asia,2017,11.74989671921602
Oman,Asia,2017,13.61299424054464
Pakistan,Asia,2017,12.92047489375189
Palestine,Asia,2017,18.17172014270447
Philippines,Asia,2017,11.934266994068327
Qatar,Asia,2017,13.48888823546148
Saudi Arabia,Asia,2017,13.62966646564888
Sri Lanka,Asia,2017,11.46085779240661
Syria,Asia,2017,16.07623189563293
Taiwan,Asia,2017,10.47541038854239
Tajikistan,Asia,2017,11.04193207153526
Thailand,Asia,2017,12.0564652395389
Timor,Asia,2017,11.17847098035109
Turkey,Asia,2017,14.46346780037963
Turkmenistan,Asia,2017,10.55196744680378
United Arab Emirates,Asia,2017,12.445374584529551
Uzbekistan,Asia,2017,10.58390438312659
Vietnam,Asia,2017,9.54778825032838
Yemen,Asia,2017,16.07240244506114
