,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
180,Antigua and Barbuda,North America,1990,14.02944879475974
181,Antigua and Barbuda,North America,1991,13.98449167268892
182,Antigua and Barbuda,North America,1992,13.94518180461531
183,Antigua and Barbuda,North America,1993,13.91560108547881
184,Antigua and Barbuda,North America,1994,13.89428756337376
185,Antigua and Barbuda,North America,1995,13.88616294315875
186,Antigua and Barbuda,North America,1996,13.89255092222774
187,Antigua and Barbuda,North America,1997,13.902910280616098
188,Antigua and Barbuda,North America,1998,13.91815740452512
189,Antigua and Barbuda,North America,1999,13.92957648054804
190,Antigua and Barbuda,North America,2000,13.93589685575471
191,Antigua and Barbuda,North America,2001,13.94223100149804
192,Antigua and Barbuda,North America,2002,13.94824701639239
193,Antigua and Barbuda,North America,2003,13.951554877636893
194,Antigua and Barbuda,North America,2004,13.954201339547758
195,Antigua and Barbuda,North America,2005,13.95113104046932
196,Antigua and Barbuda,North America,2006,13.948680247065958
197,Antigua and Barbuda,North America,2007,13.939356533931498
198,Antigua and Barbuda,North America,2008,13.929131438023552
199,Antigua and Barbuda,North America,2009,13.92502581224156
200,Antigua and Barbuda,North America,2010,13.92766651217327
201,Antigua and Barbuda,North America,2011,13.94474708578281
202,Antigua and Barbuda,North America,2012,13.97471611285989
203,Antigua and Barbuda,North America,2013,14.009365903804849
204,Antigua and Barbuda,North America,2014,14.041716215695068
205,Antigua and Barbuda,North America,2015,14.06148127986227
206,Antigua and Barbuda,North America,2016,14.06277177302166
207,Antigua and Barbuda,North America,2017,14.06152788539408
208,Antigua and Barbuda,North America,2018,14.102881319158032
209,Antigua and Barbuda,North America,2019,14.17751299809818
210,Argentina,South America,1990,13.73576659088697
211,Argentina,South America,1991,13.74599575311422
212,Argentina,South America,1992,13.75763336398384
213,Argentina,South America,1993,13.76997212703218
214,Argentina,South America,1994,13.78094713504882
215,Argentina,South America,1995,13.784979809871
216,Argentina,South America,1996,13.792123094297551
217,Argentina,South America,1997,13.79887310549547
218,Argentina,South America,1998,13.80857612695886
219,Argentina,South America,1999,13.81458777124425
220,Argentina,South America,2000,13.821448896945048
221,Argentina,South America,2001,13.83553357319238
222,Argentina,South America,2002,13.85481565729271
223,Argentina,South America,2003,13.877456987373929
224,Argentina,South America,2004,13.896851014409531
225,Argentina,South America,2005,13.90280753674839
226,Argentina,South America,2006,13.8613327934738
227,Argentina,South America,2007,13.75563364196263
228,Argentina,South America,2008,13.63675112624552
229,Argentina,South America,2009,13.53768291145206
230,Argentina,South America,2010,13.50099212302489
231,Argentina,South America,2011,13.509212121089709
232,Argentina,South America,2012,13.52482420827926
