,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
0,Afghanistan,Asia,1990,16.65922900929107
1,Afghanistan,Asia,1991,16.76505205431349
2,Afghanistan,Asia,1992,16.874468701187027
3,Afghanistan,Asia,1993,16.99072036863918
4,Afghanistan,Asia,1994,17.11273007590494
5,Afghanistan,Asia,1995,17.23630679206331
6,Afghanistan,Asia,1996,17.39030145997863
7,Afghanistan,Asia,1997,17.57097989936671
8,Afghanistan,Asia,1998,17.74816860062934
9,Afghanistan,Asia,1999,17.88163135469398
10,Afghanistan,Asia,2000,17.93926927393828
11,Afghanistan,Asia,2001,17.933525004544553
12,Afghanistan,Asia,2002,17.91654686478037
13,Afghanistan,Asia,2003,17.88970241777898
14,Afghanistan,Asia,2004,17.85990320792294
15,Afghanistan,Asia,2005,17.82428705025902
16,Afghanistan,Asia,2006,17.77296359703334
17,Afghanistan,Asia,2007,17.68658589341464
18,Afghanistan,Asia,2008,17.581372236802608
19,Afghanistan,Asia,2009,17.48152902997547
20,Afghanistan,Asia,2010,17.39516846483154
21,Afghanistan,Asia,2011,17.32030518917141
22,Afghanistan,Asia,2012,17.25502932579598
23,Afghanistan,Asia,2013,17.19881130454552
24,Afghanistan,Asia,2014,17.15369385245716
25,Afghanistan,Asia,2015,17.125415531764528
26,Afghanistan,Asia,2016,17.11012867708574
27,Afghanistan,Asia,2017,17.103263301715398
28,Afghanistan,Asia,2018,17.10424437055579
29,Afghanistan,Asia,2019,17.11761173310941
240,Armenia,Asia,1990,11.27448692924341
241,Armenia,Asia,1991,11.31506323379773
242,Armenia,Asia,1992,11.35926604535134
243,Armenia,Asia,1993,11.39542026900635
244,Armenia,Asia,1994,11.43387158945783
245,Armenia,Asia,1995,11.46458538652995
246,Armenia,Asia,1996,11.49900316158216
247,Armenia,Asia,1997,11.53923220458643
248,Armenia,Asia,1998,11.58556116470034
249,Armenia,Asia,1999,11.62177243699678
250,Armenia,Asia,2000,11.64403468256005
251,Armenia,Asia,2001,11.64780468142138
252,Armenia,Asia,2002,11.62786764127827
253,Armenia,Asia,2003,11.59000050233793
254,Armenia,Asia,2004,11.55327195062414
255,Armenia,Asia,2005,11.51880762100615
256,Armenia,Asia,2006,11.48671766590574
257,Armenia,Asia,2007,11.44830740313135
258,Armenia,Asia,2008,11.41498022263862
259,Armenia,Asia,2009,11.3834290585682
260,Armenia,Asia,2010,11.36305550378274
261,Armenia,Asia,2011,11.355047896695671
