,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
30,Albania,Europe,1990,11.52880687188354
31,Albania,Europe,1991,11.57774518946581
32,Albania,Europe,1992,11.61963017765792
33,Albania,Europe,1993,11.65594488198332
34,Albania,Europe,1994,11.68245182545508
35,Albania,Europe,1995,11.70099757358475
36,Albania,Europe,1996,11.71131634185639
37,Albania,Europe,1997,11.71594316657066
38,Albania,Europe,1998,11.717010785456887
39,Albania,Europe,1999,11.7189744156243
40,Albania,Europe,2000,11.71942648972776
41,Albania,Europe,2001,11.71102791202426
42,Albania,Europe,2002,11.70261700758612
43,Albania,Europe,2003,11.69014503184048
44,Albania,Europe,2004,11.67775187771095
45,Albania,Europe,2005,11.65937289884377
46,Albania,Europe,2006,11.63877334390668
47,Albania,Europe,2007,11.62024692650258
48,Albania,Europe,2008,11.602412077886813
49,Albania,Europe,2009,11.58498668060356
50,Albania,Europe,2010,11.56868845256158
51,Albania,Europe,2011,11.5665759338213
52,Albania,Europe,2012,11.57076045424944
53,Albania,Europe,2013,11.57598584093258
54,Albania,Europe,2014,11.57874325627064
55,Albania,Europe,2015,11.57676344158347
56,Albania,Europe,2016,11.56444277958855
57,Albania,Europe,2017,11.548472614716433
58,Albania,Europe,2018,11.54789863353455
59,Albania,Europe,2019,11.55843098896931
120,Andorra,Europe,1990,15.38042198220321
121,Andorra,Europe,1991,15.38223175985419
122,Andorra,Europe,1992,15.391817237408253
123,Andorra,Europe,1993,15.39107175134349
124,Andorra,Europe,1994,15.40108002750506
125,Andorra,Europe,1995,15.41329685927017
126,Andorra,Europe,1996,15.416534956519632
127,Andorra,Europe,1997,15.41755614684061
128,Andorra,Europe,1998,15.41394270090234
129,Andorra,Europe,1999,15.40769824932496
130,Andorra,Europe,2000,15.40926176827408
131,Andorra,Europe,2001,15.418618201843753
132,Andorra,Europe,2002,15.41885176974871
133,Andorra,Europe,2003,15.42243461174342
134,Andorra,Europe,2004,15.4124836957041
135,Andorra,Europe,2005,15.41437076875575
136,Andorra,Europe,2006,15.407457363366287
137,Andorra,Europe,2007,15.39439310360402
138,Andorra,Europe,2008,15.378264124904709
139,Andorra,Europe,2009,15.364443226881692
140,Andorra,Europe,2010,15.35970564956625
141,Andorra,Europe,2011,15.39149516918668
142,Andorra,Europe,2012,15.409718703575988
143,Andorra,Europe,2013,15.43211074210758
144,Andorra,Europe,2014,15.447613238574071
145,Andorra,Europe,2015,15.45265466472988
146,Andorra,Europe,2016,15.45086185020454
147,Andorra,Europe,2017,15.44681411274074
148,Andorra,Europe,2018,15.46192734759973
149,Andorra,Europe,2019,15.49529358892542
300,Austria,Europe,1990,15.937806863934
301,Austria,Europe,1991,15.96339872269518
302,Austria,Europe,1992,15.97752463572867
