tempo;regiao;instituicao;localizacao_geografica;psicologia_primeiras_consultas;psicologia_consultas_subsequentes;psicologia_total_de_consultas
2018-01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;325;1273;1598
2018-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;141;246;387
2018-01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;27;328;355
2018-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;91;794;885
2018-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;22;77;99
2018-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;81;185;266
2018-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;28;112;140
2018-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;0;0;0
2018-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;151;423;574
2018-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;610;2323;2933
2018-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;504;1781;2285
2018-02;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;0;3;3
2018-02;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;188;969;1157
2018-02;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;53;53
2018-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;50;120;170
2018-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;402;939;1341
2018-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;13;208;221
2018-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;35;194;229
2018-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;944;6827;7771
2018-03;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;237;948;1185
2018-03;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;84;84
2018-03;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;426;1353;1779
2018-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1093;1907;3000
2018-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;346;2780;3126
2018-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;483;1790;2273
2018-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;287;855;1142
2018-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;46;256;302
2018-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;174;1253;1427
2018-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;460;3501;3961
2018-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;513;866;1379
2018-04;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;104;1209;1313
2018-04;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;257;1200;1457
2018-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;301;717;1018
2018-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;177;736;913
2018-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;440;3478;3918
2018-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1479;11247;12726
2018-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;982;8885;9867
2018-05;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;344;1557;1901
2018-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;432;2418;2850
2018-05;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;0;161;161
2018-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2171;3467;5638
2018-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1695;3038;4733
2018-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;909;2171;3080
