,Entity,Regional Indicator,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
180,Antigua and Barbuda,North America,1990,0.2946353947518,0.98215468657164,0.24372801700472,4.44847239488231,0.8026255753506101,3.14417568906951,2.02189878008163
181,Antigua and Barbuda,North America,1991,0.2951000371172499,0.98281480723992,0.24677671491498,4.43923661803466,0.8068461378939599,3.10937455892047,1.9818105704196904
182,Antigua and Barbuda,North America,1992,0.2955580718519799,0.98353790334207,0.24987419721773,4.43288860430044,0.8099654904410799,3.0788344365629503,1.94929410698076
183,Antigua and Barbuda,North America,1993,0.29597650095922,0.98427132275459,0.25263509899073,4.42949371871423,0.81418118550142,3.05624928386477,1.92470831244452
184,Antigua and Barbuda,North America,1994,0.2963460039826899,0.98503190359597,0.25528596044918,4.42945321719826,0.81611698709969,3.04157011329325,1.90854024884891
185,Antigua and Barbuda,North America,1995,0.29662682556019,0.9857445319548,0.25704014347121,4.4327028783003,0.81868392639959,3.0387335536849003,1.90104098906662
186,Antigua and Barbuda,North America,1996,0.2969305307688999,0.98639542029451,0.25881445253094,4.4393601245282905,0.8200004511118301,3.0441554742601102,1.9082584126844
187,Antigua and Barbuda,North America,1997,0.2973301601548,0.98699221363385,0.26015123650881,4.44830959250851,0.82191345284443,3.05246273733926,1.9299476672916296
188,Antigua and Barbuda,North America,1998,0.29775504979821,0.98756047923703,0.26200333092065,4.4579362940860605,0.82300597766341,3.0626608973864498,1.95726863969914
189,Antigua and Barbuda,North America,1999,0.29812204517677,0.98806652823753,0.26289219049873,4.46620669006087,0.8241930455840201,3.0725660859315,1.9815436501356705
190,Antigua and Barbuda,North America,2000,0.29834612418766,0.98849064666556,0.26392802613478,4.471161220273371,0.82512075705486,3.0774572275735,1.99396356014837
191,Antigua and Barbuda,North America,2001,0.29846747303543,0.98882922932075,0.2651967729251,4.47201848509272,0.82557642652777,3.08210288152475,1.98883841057768
192,Antigua and Barbuda,North America,2002,0.2986010290072299,0.98912935901266,0.26597146659675,4.47011725818907,0.8267210661984501,3.08589548512077,1.97250753256773
193,Antigua and Barbuda,North America,2003,0.29873980816055,0.98935930656985,0.26709435479282,4.46677295118355,0.8274744119735,3.0880911047642403,1.95342470257464
